molecule,prec,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
ch4_050,5,096,16,2.725473917000000e+01,1.354647431400000e+01,4.08014e+01
ch4_050,5,096,32,3.036835686600000e+01,8.433344214000000e+00,3.88019e+01
ch4_050,5,112,08,2.865966018800000e+01,1.511573883700000e+01,4.37756e+01
ch4_050,5,112,16,2.859088106500000e+01,1.241719850100000e+01,4.10083e+01
ch4_050,5,112,32,3.073203131800000e+01,7.854243366000000e+00,3.85865e+01
ch4_050,5,128,08,4.489076995400000e+01,1.739987309200000e+01,6.22909e+01
ch4_050,5,128,16,4.658175703400000e+01,1.282115916900000e+01,5.94031e+01
ch4_050,5,128,32,4.102580816800000e+01,9.338337101000000e+00,5.03644e+01
ch4_060,5,032,32,2.142603923900000e+01,1.422578490000000e+01,3.56521e+01
ch4_060,5,048,16,1.533068627750000e+02,2.287953900500000e+01,1.76187e+02
ch4_060,5,048,32,3.474314196400000e+01,1.278820794100000e+01,4.75315e+01
ch4_060,5,064,16,2.405524927600000e+01,1.789331582900000e+01,4.19488e+01
ch4_060,5,064,32,1.953630046500000e+01,1.048589039600000e+01,3.00224e+01
ch4_060,5,080,16,2.052991891900000e+01,1.455900864800000e+01,3.50891e+01
ch4_060,5,080,32,2.062859422200000e+01,1.062495964600000e+01,3.12538e+01
ch4_060,5,096,16,8.569844642800000e+01,1.303487267900000e+01,9.87336e+01
ch4_060,5,096,32,2.492936028300000e+01,9.196548830999999e+00,3.41261e+01
ch4_060,5,112,16,2.980962072000000e+01,1.338199108800000e+01,4.31918e+01
ch4_060,5,112,32,2.026378283400000e+01,9.702718659000000e+00,2.99667e+01
ch4_060,5,128,16,2.282446483700000e+01,1.418498816600000e+01,3.70097e+01
ch4_060,5,128,32,2.201015584800000e+01,9.631174097000001e+00,3.16415e+01
ch4_060,5,144,16,3.524211402100000e+01,1.394553108400000e+01,4.91878e+01
ch4_060,5,144,32,6.285947407800000e+01,1.045727618800000e+01,7.33170e+01
