molecule,prec,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize
ch4_040,5,128,08,1.11825e+02,8.27736e+00,3.68890e+01,1.56991e+02
ch4_040,5,128,16,9.28198e+01,8.22331e+00,2.71400e+01,1.28183e+02
ch4_040,5,128,32,9.15198e+01,8.42742e+00,3.07405e+01,1.30688e+02
ch4_050,5,016,32,4.70479e+02,1.89741e+01,8.02259e+01,5.69925e+02
ch4_050,5,032,16,3.35140e+02,1.89507e+01,7.06690e+01,4.24760e+02
ch4_050,5,032,32,3.17444e+02,1.90075e+01,6.23960e+01,3.98848e+02
ch4_050,5,048,16,3.54753e+02,1.82180e+01,5.41314e+01,4.27102e+02
ch4_050,5,048,32,2.64404e+02,1.91151e+01,5.30870e+01,3.36607e+02
ch4_050,5,064,16,2.01264e+02,1.89077e+01,5.06350e+01,2.70807e+02
ch4_050,5,064,32,2.02760e+02,1.88209e+01,4.69116e+01,2.68493e+02
ch4_050,5,080,08,3.14050e+02,1.87824e+01,5.91410e+01,3.91974e+02
ch4_050,5,080,16,2.44849e+02,1.97161e+01,4.37672e+01,3.08332e+02
ch4_050,5,080,32,2.01011e+02,1.90148e+01,4.12731e+01,2.61299e+02
ch4_050,5,096,16,1.76271e+02,1.84500e+01,6.29898e+01,2.57711e+02
ch4_050,5,096,32,1.73787e+02,1.82282e+01,5.14213e+01,2.43436e+02
ch4_050,5,112,08,2.86521e+02,1.90935e+01,5.71182e+01,3.62733e+02
ch4_050,5,112,16,1.68382e+02,1.87140e+01,4.03600e+01,2.27457e+02
ch4_050,5,112,32,1.58272e+02,1.85830e+01,4.47732e+01,2.21628e+02
ch4_050,5,128,08,2.95813e+02,1.89060e+01,5.39521e+01,3.68671e+02
ch4_050,5,128,16,1.86808e+02,1.87044e+01,4.02656e+01,2.45778e+02
ch4_050,5,128,32,1.88815e+02,1.90676e+01,4.18384e+01,2.49722e+02
ch4_060,5,032,32,5.37370e+02,3.71639e+01,9.18100e+01,6.66344e+02
ch4_060,5,048,16,4.35447e+02,3.87821e+01,1.02510e+02,5.76739e+02
ch4_060,5,048,32,3.99092e+02,3.95836e+01,8.39609e+01,5.22637e+02
ch4_060,5,064,16,3.27591e+02,3.66404e+01,7.32793e+01,4.37511e+02
ch4_060,5,064,32,2.70827e+02,3.97839e+01,6.77769e+01,3.78389e+02
ch4_060,5,080,16,3.39988e+02,3.80244e+01,7.05789e+01,4.48592e+02
ch4_060,5,080,32,2.64809e+02,3.89413e+01,6.47096e+01,3.68460e+02
ch4_060,5,096,16,3.90439e+02,3.82838e+01,5.99854e+01,4.88708e+02
ch4_060,5,096,32,2.86232e+02,3.85771e+01,6.05051e+01,3.85314e+02
ch4_060,5,112,16,3.19157e+02,3.71576e+01,7.01085e+01,4.26424e+02
ch4_060,5,112,32,2.44808e+02,3.80399e+01,6.17793e+01,3.44627e+02
ch4_060,5,128,16,2.96853e+02,3.62798e+01,6.42444e+01,3.97377e+02
ch4_060,5,128,32,2.28996e+02,3.81641e+01,6.05556e+01,3.27716e+02
ch4_060,5,144,16,3.30511e+02,3.73630e+01,5.55488e+01,4.23423e+02
ch4_060,5,144,32,2.82270e+02,3.73181e+01,6.06948e+01,3.80283e+02
