molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,KAIN,Fock operator,Fock matrix,Total SCF
ch4_040,5,048,16,2.16328e+02,4.43734e+00,29.9932,2.81022e+00,2.31338e+02,4.45473e+01,5.94592e+02
ch4_040,5,048,32,2.22649e+02,4.95231e+00,32.6751,2.32108e+00,1.36751e+02,2.66423e+01,4.86740e+02
ch4_040,5,064,08,2.03292e+02,1.04998e+01,52.0737,6.54208e+00,3.78457e+02,2.66248e+01,7.59861e+02
ch4_040,5,064,16,1.56511e+02,3.53356e+00,23.4311,5.30561e+00,2.94344e+02,2.19081e+01,5.62798e+02
ch4_040,5,064,32,1.42856e+02,6.97009e+00,20.9094,3.87349e+00,1.67153e+02,1.80135e+01,4.13251e+02
ch4_040,5,080,08,2.85845e+02,1.41536e+01,34.451,2.62740e+00,4.09479e+02,5.46679e+01,9.05827e+02
ch4_040,5,080,16,1.79056e+02,1.29334e+00,20.2374,1.22291e+00,3.34233e+02,2.70335e+01,6.28360e+02
ch4_040,5,080,32,1.65134e+02,1.14576e+00,21.5484,1.04108e+00,2.07256e+02,2.19749e+01,4.83184e+02
ch4_040,5,096,08,1.95813e+02,1.37681e+01,40.7051,5.33342e+00,4.52594e+02,4.72464e+01,8.37823e+02
ch4_040,5,096,16,1.53340e+02,6.96113e+00,24.0865,5.41785e+00,3.56478e+02,3.70330e+01,6.40722e+02
ch4_040,5,096,32,1.43504e+02,5.07209e+00,21.278,3.57449e+00,2.38071e+02,2.32752e+01,4.87603e+02
ch4_040,5,112,08,1.89017e+02,1.25831e+01,39.8427,6.58870e+00,4.73474e+02,4.68411e+01,8.60061e+02
ch4_040,5,112,16,1.46286e+02,7.11800e+00,25.7155,6.60556e+00,4.07738e+02,2.68676e+01,6.83011e+02
ch4_040,5,112,32,1.55911e+02,6.29890e+00,19.1802,3.63460e+00,2.72869e+02,2.25902e+01,5.40359e+02
ch4_040,5,128,08,1.56991e+02,9.39931e+00,35.8494,6.52900e+00,5.20822e+02,4.89859e+01,8.78587e+02
ch4_040,5,128,16,1.28183e+02,9.37872e+00,21.5078,6.59660e+00,4.21708e+02,3.72701e+01,6.96020e+02
