molecule,MPI,OMP,orbs,SCF cycles,Wall time,Max memory
alkane_060,080,32,241,-6,2.358299e+03,12841608
alkane_060,096,08,241,-6,3.079427e+03,12231460
alkane_060,096,16,241,-6,2.227873e+03,12224004
alkane_060,096,32,241,-6,2.121757e+03,10922092
alkane_060,112,08,241,-6,2.946876e+03,12030648
alkane_060,112,16,241,-6,2.141290e+03,12116200
alkane_060,112,32,241,-6,2.081972e+03,10712116
alkane_060,128,08,241,-6,2.570455e+03,10691048
alkane_060,128,16,241,-6,1.869527e+03,10809976
alkane_060,128,32,241,-6,1.824282e+03,9531912
alkane_070,032,16,281,-6,5.822347e+03,24886940
alkane_070,032,32,281,-6,5.098491e+03,23597348
alkane_070,048,16,281,-6,5.807352e+03,19189000
alkane_070,048,32,281,-6,3.766623e+03,17978500
alkane_070,064,08,281,-6,5.060340e+03,17020748
alkane_070,064,16,281,-6,3.689057e+03,17108212
alkane_070,064,32,281,-6,3.360117e+03,16042100
alkane_070,080,16,281,-6,3.302133e+03,15423728
alkane_070,080,32,281,-6,2.973632e+03,14010812
alkane_070,096,08,281,-6,3.830369e+03,13437568
alkane_070,096,16,281,-6,2.771393e+03,13392592
alkane_070,096,32,281,-6,2.605684e+03,12353272
alkane_070,112,08,281,-6,3.884146e+03,13435448
alkane_070,112,16,281,-6,2.823012e+03,13377492
alkane_070,112,32,281,-6,2.702592e+03,12024696
alkane_070,128,08,281,-6,3.742555e+03,13292908
alkane_070,128,16,281,-6,2.737780e+03,13315204
alkane_070,128,32,281,-6,2.596452e+03,11907424
alkane_070,144,08,281,-6,3.179174e+03,11703120
alkane_070,144,16,281,-6,2.326516e+03,11474408
alkane_070,144,32,281,-6,2.191590e+03,10410116
alkane_090,064,32,361,-6,5.326425e+03,21847664
alkane_090,080,32,361,-6,4.721733e+03,19350208
alkane_090,096,32,361,-6,4.111484e+03,16911580
alkane_090,112,16,361,-6,4.609962e+03,18518152
alkane_090,112,32,361,-6,4.341539e+03,16981008
alkane_090,128,16,361,-6,4.075465e+03,16206144
alkane_090,128,32,361,-6,3.753931e+03,14803524
alkane_090,144,16,361,-6,4.194933e+03,16353324
alkane_090,144,32,361,-6,3.923626e+03,14625632
alkane_090,160,08,361,-6,5.526425e+03,27439708
alkane_090,160,16,361,-6,4.039975e+03,16161356
alkane_090,160,32,361,-6,3.838082e+03,14424604
