molecule,prec,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
ch4_002,6,01,16,2.48764e-01,1.46831e+00,1.89900e-05,1.69741e+00,3.41462e+00
ch4_002,6,01,32,3.10965e-01,1.38634e+00,1.75360e-05,1.39358e+00,3.09102e+00
ch4_002,6,02,01,7.08673e-02,2.71424e+00,1.50410e-05,4.52201e+00,7.30724e+00
ch4_002,6,02,02,5.74126e-02,1.66846e+00,8.14400e-06,2.57168e+00,4.29768e+00
ch4_002,6,02,04,1.32556e-01,1.17667e+00,1.53970e-05,1.65129e+00,2.96065e+00
ch4_002,6,02,08,1.33117e-01,8.52366e-01,1.92690e-05,1.10489e+00,2.09050e+00
ch4_002,6,02,16,5.93377e-02,6.94043e-01,2.56060e-05,8.42704e-01,1.59627e+00
ch4_002,6,02,32,3.25719e-01,9.22682e-01,1.98500e-05,8.63640e-01,2.11220e+00
ch4_002,6,04,01,4.22616e-02,1.87055e+00,2.06160e-05,3.53736e+00,5.45032e+00
ch4_002,6,04,02,5.86809e-02,1.13479e+00,2.09780e-05,1.84314e+00,3.03675e+00
ch4_002,6,04,04,2.04809e-01,1.00500e+00,1.72960e-05,1.34988e+00,2.55983e+00
ch4_002,6,04,08,2.28705e-01,6.33673e-01,1.81700e-05,8.71119e-01,1.73364e+00
ch4_002,6,04,16,2.49802e-01,5.11817e-01,1.87230e-05,6.37621e-01,1.39937e+00
ch4_002,6,04,32,2.47021e-01,5.34463e-01,1.70190e-05,5.08169e-01,1.28981e+00
ch4_002,6,08,01,5.06568e-02,1.33782e+00,1.76110e-05,2.42815e+00,3.81675e+00
ch4_002,6,08,02,3.77020e-02,7.08392e-01,8.70700e-06,1.37367e+00,2.11988e+00
ch4_002,6,08,04,4.98350e-02,5.15277e-01,1.79500e-05,7.82587e-01,1.34782e+00
ch4_002,6,08,08,4.88353e-02,3.85171e-01,2.01160e-05,5.64260e-01,9.98392e-01
ch4_002,6,08,16,4.80667e-02,2.90972e-01,2.69030e-05,4.53611e-01,7.92816e-01
ch4_002,6,08,32,2.07730e-01,3.71090e-01,2.16640e-05,3.66641e-01,9.45611e-01
ch4_004,4,01,01,4.21618e-02,1.90829e+00,2.03300e-05,2.73432e+00,4.68492e+00
ch4_004,4,01,02,6.23978e-02,1.31714e+00,1.30370e-05,1.69313e+00,3.07280e+00
ch4_004,4,01,04,1.07902e-01,9.94826e-01,1.96220e-05,1.14283e+00,2.24569e+00
ch4_004,4,01,08,1.19574e-01,8.06641e-01,1.63960e-05,9.48673e-01,1.87503e+00
ch4_004,4,01,16,1.28507e-01,7.63757e-01,1.80460e-05,7.66016e-01,1.65842e+00
ch4_004,4,01,32,1.38596e-01,7.71507e-01,1.95400e-05,6.94762e-01,1.60503e+00
ch4_004,4,02,01,2.70746e-02,1.04424e+00,1.91820e-05,1.47592e+00,2.54737e+00
ch4_004,4,02,02,5.61755e-02,7.58228e-01,9.49900e-06,8.93126e-01,1.70766e+00
ch4_004,4,02,04,7.97220e-02,5.00857e-01,1.74240e-05,5.54298e-01,1.13500e+00
ch4_004,4,02,08,4.44623e-02,3.92297e-01,1.60210e-05,4.27330e-01,8.64216e-01
ch4_004,4,02,16,5.00188e-02,3.50844e-01,2.43020e-05,3.53405e-01,7.54424e-01
ch4_004,4,02,32,3.00546e-01,4.61344e-01,1.71280e-05,3.62925e-01,1.12496e+00
ch4_004,4,04,01,2.29955e-02,6.17610e-01,1.81270e-05,8.47941e-01,1.48868e+00
ch4_004,4,04,02,3.09154e-02,4.01933e-01,2.05290e-05,4.99986e-01,9.32979e-01
ch4_004,4,04,04,1.09344e-01,3.53031e-01,2.36170e-05,3.45603e-01,8.08124e-01
ch4_004,4,04,08,1.58731e-01,2.63819e-01,1.94380e-05,2.61452e-01,6.84140e-01
ch4_004,4,04,16,1.44478e-01,2.38708e-01,1.95730e-05,2.02863e-01,5.86189e-01
ch4_004,4,04,32,1.97249e-01,2.36330e-01,2.34820e-05,1.68495e-01,6.02230e-01
ch4_004,4,08,01,1.54523e-02,3.54765e-01,1.47390e-05,5.22951e-01,8.93287e-01
ch4_004,4,08,02,1.61186e-02,2.41021e-01,8.14700e-06,3.13981e-01,5.71226e-01
ch4_004,4,08,04,8.63058e-03,1.53277e-01,1.96440e-05,1.94800e-01,3.56834e-01
ch4_004,4,08,08,1.38524e-02,1.24111e-01,2.05060e-05,1.54537e-01,2.92633e-01
ch4_004,4,08,16,1.98144e-02,1.33394e-01,2.24030e-05,1.24110e-01,2.77479e-01
ch4_004,4,08,32,1.06225e-01,1.26684e-01,2.23500e-05,1.25401e-01,3.58461e-01
ch4_004,4,16,01,1.19122e-02,2.42371e-01,8.03100e-06,3.46658e-01,6.01050e-01
ch4_004,4,16,02,8.94948e-03,1.56443e-01,7.56800e-06,2.11585e-01,3.77077e-01
ch4_004,4,16,04,9.78286e-03,1.06546e-01,8.00700e-06,1.35810e-01,2.52246e-01
ch4_004,4,16,08,1.00926e-02,8.54842e-02,8.38900e-06,1.09925e-01,2.05610e-01
ch4_004,4,16,16,5.56360e-03,7.35001e-02,1.94750e-05,8.68401e-02,1.66021e-01
ch4_004,4,16,32,2.69196e-02,8.20513e-02,1.83630e-05,7.46693e-02,1.83771e-01
