molecule,MPI,OMP,Lowdin matrix,Rotation,Total Lowdin
caffeine,001,01,,,
caffeine,001,02,,,
caffeine,001,04,,,
caffeine,001,08,,,
caffeine,001,16,,,
caffeine,002,01,,,
caffeine,002,16,,,
caffeine,004,01,,,
caffeine,004,16,,,
caffeine,008,01,,,
caffeine,008,16,,,
caffeine,016,01,,,
caffeine,016,02,,,
caffeine,016,04,,,
caffeine,016,08,,,
caffeine,016,16,,,
