molecule,MPI,OMP,orbs,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
alkane_040,048,08,161,3.60655e+00,7.64314e-01,1.21020e-05,5.63394e-01,4.93442e+00
alkane_040,048,16,161,3.63856e+00,6.22518e-01,2.85680e-05,4.01966e-01,4.66324e+00
alkane_040,048,32,161,2.68528e+00,8.25466e-01,1.41430e-05,4.48432e-01,3.95935e+00
alkane_040,064,08,161,5.02607e+00,5.48318e-01,1.27780e-05,3.66369e-01,5.94092e+00
alkane_040,064,16,161,5.19374e+00,4.40907e-01,2.64890e-05,2.63641e-01,5.89846e+00
alkane_040,064,32,161,3.27746e+00,6.31466e-01,3.03830e-05,2.73273e-01,4.18237e+00
alkane_040,080,08,161,5.86963e-02,4.63016e-01,1.20080e-05,3.96194e-01,9.18061e-01
alkane_040,080,16,161,6.80851e-02,4.29982e-01,1.93650e-05,3.75269e-01,8.73515e-01
alkane_040,080,32,161,2.64104e-01,5.60701e-01,2.81520e-05,3.21176e-01,1.14615e+00
alkane_040,096,08,161,7.86690e+00,4.48339e-01,1.26630e-05,2.52901e-01,8.56830e+00
alkane_040,096,16,161,3.87383e+00,3.52095e-01,1.34390e-05,1.98009e-01,4.42409e+00
alkane_040,096,32,161,2.46744e+00,4.89550e-01,2.49000e-05,2.19776e-01,3.17692e+00
alkane_040,112,08,161,7.50421e+00,4.22074e-01,9.85600e-06,2.78262e-01,8.20470e+00
alkane_040,112,16,161,1.20384e+01,3.41009e-01,1.70340e-05,2.05052e-01,1.25846e+01
alkane_040,112,32,161,4.85266e+00,4.62008e-01,2.75170e-05,2.18286e-01,5.53335e+00
alkane_040,128,08,161,6.87459e+00,3.35237e-01,1.26200e-05,2.60002e-01,7.47000e+00
alkane_040,128,16,161,1.71074e+00,2.78762e-01,1.74500e-05,1.87470e-01,2.17714e+00
alkane_040,128,32,161,1.11785e+00,3.87798e-01,3.20940e-05,1.92792e-01,1.69865e+00
alkane_050,016,16,201,2.51615e-01,1.84303e+00,1.47380e-05,1.65619e+00,3.75446e+00
alkane_050,016,32,201,1.21451e+00,2.23797e+00,2.09290e-05,1.14768e+00,4.60030e+00
alkane_050,032,08,201,1.49604e-01,1.28168e+00,9.72800e-06,1.01976e+00,2.45119e+00
alkane_050,032,16,201,5.55066e-01,1.01806e+00,2.25790e-05,6.66072e-01,2.23938e+00
alkane_050,032,32,201,7.18307e+00,1.35329e+00,2.09970e-05,7.22769e-01,9.25928e+00
alkane_050,048,16,201,1.25381e+00,7.70538e-01,2.02030e-05,4.70692e-01,2.49520e+00
alkane_050,048,32,201,3.20223e-01,1.04670e+00,1.85150e-05,4.69379e-01,1.83648e+00
alkane_050,064,08,201,4.87268e+00,8.01758e-01,1.33120e-05,5.46712e-01,6.22132e+00
alkane_050,064,16,201,5.29985e-01,6.07993e-01,2.54320e-05,3.97535e-01,1.53570e+00
alkane_050,064,32,201,4.95538e-01,9.36740e-01,2.16940e-05,4.67320e-01,1.89976e+00
alkane_050,080,08,201,1.10692e+01,5.08512e-01,1.06470e-05,3.92214e-01,1.19701e+01
alkane_050,080,16,201,1.17837e+01,4.11028e-01,1.82990e-05,2.91914e-01,1.24868e+01
alkane_050,080,32,201,3.99178e+00,6.42734e-01,2.88540e-05,2.84008e-01,4.91870e+00
alkane_050,096,08,201,4.13441e+00,5.11802e-01,1.08330e-05,3.84423e-01,5.03079e+00
alkane_050,096,16,201,5.42929e-02,4.18692e-01,1.92810e-05,2.73223e-01,7.46386e-01
alkane_050,096,32,201,1.64684e+00,5.78683e-01,3.01850e-05,3.15461e-01,2.54117e+00
alkane_050,112,08,201,3.92851e+00,4.59772e-01,1.00930e-05,2.38821e-01,4.62723e+00
alkane_050,112,16,201,6.11769e+00,3.73386e-01,1.37800e-05,1.80550e-01,6.67177e+00
alkane_050,112,32,201,1.78274e+00,4.86240e-01,2.25220e-05,1.91397e-01,2.46053e+00
alkane_050,128,08,201,1.41476e+01,4.54719e-01,1.31560e-05,2.65498e-01,1.48680e+01
alkane_050,128,16,201,1.68727e+01,3.72951e-01,1.93360e-05,2.00112e-01,1.74459e+01
alkane_050,128,32,201,6.40609e+00,5.14496e-01,2.35570e-05,2.01086e-01,7.12184e+00
alkane_060,016,32,241,1.22394e+00,2.82513e+00,2.49430e-05,1.63352e+00,5.68278e+00
alkane_060,032,16,241,8.79634e+00,1.17110e+00,2.31500e-05,8.21307e-01,1.07889e+01
alkane_060,032,32,241,7.28245e+00,1.56583e+00,2.17270e-05,7.89277e-01,9.63772e+00
alkane_060,048,16,241,1.92703e+00,9.05750e-01,2.65300e-05,6.32076e-01,3.46507e+00
alkane_060,048,32,241,4.26460e-01,1.10750e+00,1.35440e-05,7.00325e-01,2.23445e+00
alkane_060,064,08,241,6.61343e+00,7.58262e-01,1.21610e-05,6.44979e-01,8.01685e+00
alkane_060,064,16,241,8.25414e+00,6.46136e-01,2.67530e-05,4.37524e-01,9.33800e+00
alkane_060,064,32,241,7.18178e+00,8.01137e-01,2.49760e-05,4.70883e-01,8.45398e+00
alkane_060,080,08,241,1.05491e-01,7.76759e-01,1.05340e-05,5.89208e-01,1.47162e+00
alkane_060,080,16,241,1.05665e-01,6.49880e-01,1.90940e-05,4.50773e-01,1.20649e+00
alkane_060,080,32,241,3.13629e-01,8.28487e-01,3.47100e-05,4.66219e-01,1.60857e+00
alkane_060,096,08,241,8.46437e+00,5.34159e-01,1.27360e-05,4.26567e-01,9.42525e+00
alkane_060,096,16,241,1.58281e+01,4.65418e-01,1.82770e-05,3.14636e-01,1.66083e+01
alkane_060,096,32,241,2.14727e+00,6.13520e-01,2.61070e-05,3.42769e-01,3.10374e+00
alkane_060,112,08,241,3.52969e+00,5.16850e-01,1.00000e-05,3.82858e-01,4.42954e+00
alkane_060,112,16,241,1.68646e+00,4.13540e-01,1.29170e-05,2.99262e-01,2.39941e+00
alkane_060,112,32,241,9.53851e-01,5.93242e-01,2.90100e-05,3.14677e-01,1.86196e+00
alkane_060,128,08,241,6.03498e-01,4.29981e-01,1.06300e-05,2.53516e-01,1.28713e+00
alkane_060,128,16,241,3.70224e-02,3.59685e-01,1.71920e-05,1.89118e-01,5.86003e-01
alkane_060,128,32,241,1.24133e+00,4.98171e-01,2.96740e-05,1.85564e-01,1.92526e+00
alkane_070,032,16,281,4.83815e+00,1.38701e+00,1.93840e-05,1.06002e+00,7.28534e+00
alkane_070,032,32,281,7.65759e+00,1.75998e+00,2.91750e-05,1.19760e+00,1.06154e+01
alkane_070,048,16,281,3.62403e+00,9.67264e-01,2.36960e-05,6.79270e-01,5.27075e+00
alkane_070,048,32,281,9.46632e-01,1.30067e+00,1.71700e-05,7.80663e-01,3.02812e+00
alkane_070,064,08,281,1.11407e+01,1.04052e+00,1.80550e-05,8.56459e-01,1.30378e+01
alkane_070,064,16,281,7.60879e+00,8.13565e-01,1.98510e-05,5.91849e-01,9.01438e+00
alkane_070,064,32,281,1.19746e+01,1.10704e+00,1.45780e-05,5.58082e-01,1.36399e+01
alkane_070,080,16,281,1.56563e+01,6.25393e-01,2.00980e-05,4.71616e-01,1.67535e+01
alkane_070,080,32,281,8.27074e+00,8.97670e-01,2.88580e-05,5.71987e-01,9.74061e+00
alkane_070,096,08,281,9.41695e-01,6.83228e-01,1.17330e-05,4.49315e-01,2.07442e+00
alkane_070,096,16,281,6.65272e-01,5.58105e-01,1.82760e-05,3.16751e-01,1.54030e+00
alkane_070,096,32,281,1.56985e+00,7.96378e-01,2.22170e-05,3.76393e-01,2.74280e+00
alkane_070,112,08,281,1.40521e+01,5.62293e-01,9.46000e-06,4.13749e-01,1.50284e+01
alkane_070,112,16,281,2.01906e+01,4.63697e-01,1.81390e-05,3.24363e-01,2.09789e+01
alkane_070,112,32,281,8.54513e+00,6.10542e-01,3.56820e-05,3.13660e-01,9.46955e+00
alkane_070,128,08,281,8.10220e+00,5.55625e-01,1.02330e-05,4.51337e-01,9.10933e+00
alkane_070,128,16,281,3.71728e+00,4.57915e-01,1.73920e-05,3.21972e-01,4.49733e+00
