molecule,prec,MPI,OMP,SCF cycles,Wall time,Max memory
ch4_070,5,064,16,-6,3.689057e+03,17108212
ch4_070,5,064,32,-6,3.360117e+03,16042100
ch4_070,5,080,16,-6,3.302133e+03,15423728
ch4_070,5,080,32,-6,2.973632e+03,14010812
ch4_070,5,096,08,-6,3.830369e+03,13437568
ch4_070,5,096,16,-6,2.771393e+03,13392592
ch4_070,5,096,32,-6,2.605684e+03,12353272
ch4_070,5,112,08,-6,3.884146e+03,13435448
ch4_070,5,112,16,-6,2.823012e+03,13377492
ch4_070,5,112,32,-6,2.702592e+03,12024696
ch4_070,5,128,08,-6,3.742555e+03,13292908
ch4_070,5,128,16,-6,2.737780e+03,13315204
ch4_070,5,128,32,-6,2.596452e+03,11907424
ch4_070,5,144,08,-6,3.179174e+03,11703120
ch4_070,5,144,16,-6,2.326516e+03,11474408
ch4_070,5,144,32,-6,2.191590e+03,10410116
ch4_090,5,064,32,-6,5.326425e+03,21847664
ch4_090,5,080,32,-6,4.721733e+03,19350208
ch4_090,5,096,32,-6,4.111484e+03,16911580
ch4_090,5,112,16,-6,4.609962e+03,18518152
ch4_090,5,112,32,-6,4.341539e+03,16981008
ch4_090,5,128,16,-6,4.075465e+03,16206144
ch4_090,5,128,32,-6,3.753931e+03,14803524
ch4_090,5,144,16,-6,4.194933e+03,16353324
ch4_090,5,144,32,-6,3.923626e+03,14625632
ch4_090,5,160,08,-6,5.526425e+03,27439708
ch4_090,5,160,16,-6,4.039975e+03,16161356
ch4_090,5,160,32,-6,3.838082e+03,14424604
